tiempo,y,vy,velocidad_ruedas,fuerza_ruedas,error
1771879184.6609497,12.233638394435781,3.5365810247462908,7.2,53.0,-1.5365810247462908
1771879184.6651497,12.248379721128405,3.5379184062299482,7.2,53.0,-1.5379184062299482
1771879184.6693494,12.263123467235832,3.538499065782525,7.2,53.0,-1.538499065782525
1771879184.6734676,12.277877323938473,3.5409256086335676,7.2,53.0,-1.5409256086335676
1771879184.677632,12.292641365400906,3.5433699509841388,7.2,53.0,-1.5433699509841388
1771879184.6818123,12.307415659743686,3.5458306422674637,7.2,53.0,-1.5458306422674637
1771879184.6859336,12.322200269321266,3.5483062986191,7.2,53.0,-1.5483062986190999
1771879184.690044,12.336995250921719,3.5507955841087098,7.2,53.0,-1.5507955841087098
1771879184.6942067,12.351800655962606,3.553297209812763,7.2,53.0,-1.5532972098127629
1771879184.6983366,12.366616530682956,3.5558099328838932,7.2,53.0,-1.5558099328838932
1771879184.7025006,12.38144291633136,3.5583325556173784,7.2,53.0,-1.5583325556173784
1771879184.7066674,12.396279849350174,3.560863924515183,7.2,53.0,-1.560863924515183
1771879184.7108603,12.41112736155579,3.563402929347978,7.2,53.0,-1.563402929347978
1771879184.714999,12.425985480315022,3.5659485022155284,7.2,53.0,-1.5659485022155284
1771879184.719153,12.440854228717546,3.568499616605817,7.2,53.0,-1.5684996166058172
1771879184.7233365,12.455733625744434,3.5710552864532508,7.2,53.0,-1.5710552864532508
1771879184.7274845,12.470623686432752,3.5736145651962725,7.2,53.0,-1.5736145651962725
1771879184.731759,12.48552442203623,3.576176544834686,7.2,53.0,-1.576176544834686
1771879184.7358358,12.500435840182009,3.578740354986976,7.2,53.0,-1.578740354986976
1771879184.7399905,12.515357945023458,3.5813051619478857,7.2,53.0,-1.5813051619478857
1771879184.7441533,12.530290737389068,3.5838701677464924,7.2,53.0,-1.5838701677464924
1771879184.7483168,12.545234214927422,3.5864346092050132,7.2,53.0,-1.5864346092050132
1771879184.7524989,12.56018837224825,3.588997756998536,7.2,53.0,-1.5889977569985358
1771879184.7566843,12.575153201059566,3.5915589147158706,7.2,53.0,-1.5915589147158706
1771879184.7608137,12.590128690300906,3.594117417921689,7.2,53.0,-1.594117417921689
1771879184.7649984,12.605114826272656,3.5966726332201118,7.2,53.0,-1.5966726332201118
1771879184.7691455,12.62011159276149,3.5992239573198876,7.2,53.0,-1.5992239573198876
