tiempo,y,vy,velocidad_ruedas,fuerza_ruedas,error
1771879614.3712404,0.9673358992673496,2.821785486115383,7.2,53.0,-0.8217854861153828
1771879614.3753524,0.9790995786776517,2.8232830584725135,7.2,53.0,-0.8232830584725135
1771879614.3794377,0.9908669628011836,2.8241721896476415,7.2,53.0,-0.8241721896476415
1771879614.3795042,0.9908669628011836,2.8241721896476415,7.2,53.0,-0.8241721896476415
1771879614.3836684,1.00285439768777,2.87698437278072,7.2,53.0,-0.8769843727807198
1771879614.3878443,1.0147807689338975,2.8623290990705885,7.2,53.0,-0.8623290990705885
1771879614.391959,1.0267116204549402,2.8634043650502674,7.2,53.0,-0.8634043650502674
1771879614.3961446,1.038812877611811,2.904301717648977,7.2,53.0,-0.9043017176489769
1771879614.400296,1.0508549682289214,2.890101748106493,7.2,53.0,-0.8901017481064928
1771879614.4003594,1.0508549682289214,2.890101748106493,7.2,53.0,-0.8901017481064928
1771879614.4045062,1.0631214097702355,2.943945969915368,7.2,53.0,-0.9439459699153678
1771879614.4086564,1.0754379335017794,2.9559656955705615,7.2,53.0,-0.9559656955705615
1771879614.4129252,1.0877047093272552,2.944026198114181,7.2,53.0,-0.9440261981141811
1771879614.4170177,1.1001336662217038,2.982949654667688,7.2,53.0,-0.9829496546676881
1771879614.417103,1.1001336662217038,2.982949654667688,7.2,53.0,-0.9829496546676881
1771879614.4211822,1.112584991017934,2.9883179510952407,7.2,53.0,-0.9883179510952407
1771879614.425305,1.1250835716117413,2.999659342513752,7.2,53.0,-0.9996593425137519
1771879614.4295108,1.1376753856365212,3.0220353659471835,7.2,53.0,-1.0220353659471835
1771879614.4336526,1.150129170607819,2.9889083931114646,7.2,53.0,-0.9889083931114646
1771879614.433766,1.150129170607819,2.9889083931114646,7.2,53.0,-0.9889083931114646
1771879614.4377847,1.162616443108422,2.9969454001447238,7.2,53.0,-0.9969454001447238
1771879614.441949,1.1751761715066336,3.014334815570746,7.2,53.0,-1.014334815570746
1771879614.4460704,1.1876522192056396,2.9942514477614455,7.2,53.0,-0.9942514477614455
1771879614.4503133,1.200240379035493,3.0211583591647924,7.2,53.0,-1.0211583591647924
1771879614.4504418,1.200240379035493,3.0211583591647924,7.2,53.0,-1.0211583591647924
1771879614.454467,1.212850616484833,3.026456987841594,7.2,53.0,-1.026456987841594
1771879614.458667,1.2254092957827134,3.0140830314913036,7.2,53.0,-1.0140830314913036
1771879614.4628236,1.238114415898085,3.049228827689187,7.2,53.0,-1.0492288276891868
1771879614.4669394,1.2508414829001169,3.0544960804876284,7.2,53.0,-1.0544960804876284
