Tiempo,NumeroJoints,G_parcial
0.0054,4,127.44555343095261
0.0154,4,-15.778651707622947
0.0254,4,-0.10424043112834212
0.0355,4,-0.038875406123706484
0.0455,4,-0.12989394701638107
0.0556,4,-0.14094890631331156
0.0657,4,-0.1496034116886394
0.0758,4,-0.1576257087324497
0.0858,4,-0.1634475894300232
0.0958,4,-0.3710987771587697
0.1058,4,-0.1722242061145399
0.1159,4,-0.17449067309600483
0.1259,4,-0.1750802324590197
0.136,4,-0.17405902268038848
0.1461,4,-0.17172545476590698
0.1561,4,-0.1675060907751085
0.1662,4,-0.16224085745792227
0.1762,4,-0.15520204330670612
0.1862,4,-0.14666325745941464
0.1963,4,-0.13728858938738947
0.2063,4,-0.12685935192013809
0.2163,4,-0.23913233752813126
0.2264,4,0.011667899727255493
0.2365,4,0.01722335579607716
0.2466,4,0.023362642400712154
0.2566,4,0.029445285242956948
0.2667,4,0.03639674582606432
0.2767,4,0.043438050663933046
0.2868,4,0.049562223624145675
0.2968,4,-0.8222672447673813
0.3069,4,-0.05434515391725754
0.3169,4,-0.05438093699821586
0.3269,4,-0.054424063588190394
0.337,4,-0.0544662859366338
0.3471,4,-0.05450949692100543
0.3571,4,-0.054547951552070754
0.3672,4,-0.05458112727167866
0.3773,4,-0.054618069017750924
0.3873,4,-0.0546538822013918
0.3974,4,-0.05468988716437696
0.4074,4,-0.054721177303135186
0.4175,4,-0.05475194576822795
0.4275,4,-0.054785627914570104
0.4375,4,-0.05482133608441743
0.4476,4,-0.05485576234371707
0.4576,4,-0.054892020655506746
0.4677,4,-0.09504875327412474
0.4777,4,-0.016134467052134026
0.4877,4,-0.01912857465848359
0.4978,4,-0.02210926034233015
0.5078,4,-0.08522530594033614
0.5179,4,-0.0826603730149775
0.5279,4,-0.0801663205199419
0.538,4,-0.05892428106366872
0.548,4,-0.05522635005522737
0.5581,4,-0.055697961070507264
0.5681,4,-0.05558934263309331
0.5781,4,-0.05563255959461381
0.5882,4,-0.055678896885484004
0.5982,4,-0.055726718206434184
0.6083,4,-0.05577516292131095
0.6183,4,-0.05581877418900958
0.6285,4,-0.055865704286474936
0.6386,4,-0.05591254472412788
0.6486,4,-0.05595833141300586
0.6586,4,-0.05600474779496456
0.6686,4,-0.05605360356278435
0.6787,4,-0.0561310541319649
0.6887,4,-0.05617495639643304
0.6987,4,-0.056233554079688004
0.7088,4,-0.025098437771593055
0.7188,4,-0.023167147555939353
0.7289,4,-0.05638870551838177
0.7389,4,-0.056460755848237856
0.749,4,-45.343893878745696
0.7591,4,-0.05594043591021631
0.7692,4,-43.92635261199986
0.7793,4,-43.05022743523604
0.7893,4,-42.122059778208424
0.7994,4,-41.077419030668416
0.8094,4,-39.9324485969921
0.8196,4,-39.03635995419362
0.8297,4,-37.95008861529793
0.8399,4,-36.81233469465964
0.8499,4,-35.666539324969115
0.8599,4,-34.5713788645108
0.87,4,-33.33449060709388
0.8801,4,-6.056875897288302
0.8902,4,-0.021501951471532388
0.9003,4,-0.04895493755948001
0.9103,4,-0.11154657249341511
0.9205,4,-0.19561417092721975
0.9306,4,-0.09747908211384329
0.9406,4,-0.10056556467027931
0.9508,4,-0.10420518306507563
0.9609,4,-0.10248030402470064
0.971,4,0.9338273039219391
0.9811,4,-0.09507901614299799
0.9911,4,-0.10131031338752121
1.0012,4,-0.12025493385514609
1.0113,4,-0.15160868869159938
1.0213,4,-0.18313337714756991
1.0314,4,-0.22470963927418575
1.0415,4,-0.2731483970252932
1.0516,4,-0.3258940826447533
1.0616,4,-0.3831628111304839
1.0718,4,-0.4477372173911193
1.0818,4,-0.5132725104381669
1.0919,4,-0.5865827179974119
1.102,4,0.5177407197246061
1.1121,4,0.7968064754572329
1.1222,4,-1.9082296903568463
1.1323,4,-6.588460486027673
1.1423,4,-6.803688455755408
1.1524,4,0.36206528136022764
1.1625,4,0.10030375546381176
1.1726,4,-0.05390393924875524
1.1827,4,-0.11133839695453218
1.1928,4,-0.17967855338454242
1.2029,4,-0.16532394245867985
1.2131,4,-0.14257401846679146
1.2232,4,-0.1151902984371139
1.2333,4,-0.39594797388935216
1.2434,4,-0.4321647779691564
1.2534,4,-0.4315669936236709
1.2636,4,-0.4585174701574379
1.2737,4,-0.485224117151047
1.2838,4,-0.5105264273580271
1.2939,4,-0.5551965254286728
1.304,4,-0.47900972419269006
1.3141,4,0.7687603415099648
1.3242,4,-0.9169118613291124
1.3343,4,-0.6042254149763618
1.3444,4,-0.6214308912944148
1.3544,4,-0.6363237067305263
1.3645,4,-0.6476475808561185
1.3747,4,-0.6862729630009252
1.3847,4,-1.0572538268539455
1.3948,4,-0.6719766174488243
1.4049,4,-0.7140438114264385
1.415,4,-0.6883999324816833
1.4251,4,-0.7070332618866241
1.4352,4,-0.7149115490885781
1.4453,4,-0.7213696225735977
1.4553,4,-0.731006412113926
1.4654,4,-0.7295571512005329
1.4754,4,-0.734296774799033
1.4855,4,-0.7380887199240764
1.4955,4,-0.7408643819738423
1.5055,4,-0.7304587807655534
1.5156,4,-0.752611421638278
