tiempo,y,vy,velocidad_ruedas,fuerza_ruedas,error
1771879198.72584,12.396279849350174,3.560863924515183,7.2,53.0,-1.560863924515183
1771879198.730056,12.41112736155579,3.563402929347978,7.2,53.0,-1.563402929347978
1771879198.7301285,12.41112736155579,3.563402929347978,7.2,53.0,-1.563402929347978
1771879198.734191,12.425985480315022,3.5659485022155284,7.2,53.0,-1.5659485022155284
1771879198.7383597,12.440854228717546,3.568499616605817,7.2,53.0,-1.5684996166058172
1771879198.7384577,12.440854228717546,3.568499616605817,7.2,53.0,-1.5684996166058172
1771879198.742517,12.455733625744434,3.5710552864532508,7.2,53.0,-1.5710552864532508
1771879198.746689,12.470623686432752,3.5736145651962725,7.2,53.0,-1.5736145651962725
1771879198.7467554,12.470623686432752,3.5736145651962725,7.2,53.0,-1.5736145651962725
1771879198.75086,12.48552442203623,3.576176544834686,7.2,53.0,-1.576176544834686
1771879198.7550497,12.500435840182009,3.578740354986976,7.2,53.0,-1.578740354986976
1771879198.7551703,12.500435840182009,3.578740354986976,7.2,53.0,-1.578740354986976
1771879198.7591937,12.515357945023458,3.5813051619478857,7.2,53.0,-1.5813051619478857
1771879198.763343,12.530290737389068,3.5838701677464924,7.2,53.0,-1.5838701677464924
1771879198.7634206,12.530290737389068,3.5838701677464924,7.2,53.0,-1.5838701677464924
1771879198.7675073,12.545234214927422,3.5864346092050132,7.2,53.0,-1.5864346092050132
1771879198.7717152,12.56018837224825,3.588997756998536,7.2,53.0,-1.5889977569985358
1771879198.7718253,12.56018837224825,3.588997756998536,7.2,53.0,-1.5889977569985358
1771879198.7758648,12.575153201059566,3.5915589147158706,7.2,53.0,-1.5915589147158706
1771879198.7800205,12.590128690300906,3.594117417921689,7.2,53.0,-1.594117417921689
1771879198.7801218,12.590128690300906,3.594117417921689,7.2,53.0,-1.594117417921689
1771879198.7841854,12.605114826272656,3.5966726332201118,7.2,53.0,-1.5966726332201118
1771879198.7883337,12.62011159276149,3.5992239573198876,7.2,53.0,-1.5992239573198876
1771879198.7883997,12.62011159276149,3.5992239573198876,7.2,53.0,-1.5992239573198876
1771879198.7925208,12.635118971161912,3.6017708161013013,7.2,53.0,-1.6017708161013013
1771879198.7967174,12.650136940593933,3.604312663684929,7.2,53.0,-1.604312663684929
1771879198.7968285,12.650136940593933,3.604312663684929,7.2,53.0,-1.604312663684929
1771879198.800852,12.66516547801686,3.6068489815023606,7.2,53.0,-1.6068489815023606
1771879198.8050237,12.68020455833923,3.609379277368992,7.2,53.0,-1.609379277368992
1771879198.8051267,12.68020455833923,3.609379277368992,7.2,53.0,-1.609379277368992
1771879198.8091667,12.695254154524893,3.6119030845589872,7.2,53.0,-1.6119030845589872
1771879198.813381,12.710314237695236,3.6144199608824983,7.2,53.0,-1.6144199608824983
1771879198.813478,12.710314237695236,3.6144199608824983,7.2,53.0,-1.6144199608824983
1771879198.8175063,12.72538477722759,3.6169294877652147,7.2,53.0,-1.6169294877652147
1771879198.8216956,12.7404657408498,3.6194312693303115,7.2,53.0,-1.6194312693303115
1771879198.8217757,12.7404657408498,3.6194312693303115,7.2,53.0,-1.6194312693303115
1771879198.8258393,12.755557094730978,3.6219249314828383,7.2,53.0,-1.6219249314828383
1771879198.8299987,12.770658803568464,3.6244101209965764,7.2,53.0,-1.6244101209965764
1771879198.8300638,12.770658803568464,3.6244101209965764,7.2,53.0,-1.6244101209965764
1771879198.8341837,12.785770830670979,3.626886504603357,7.2,53.0,-1.6268865046033572
1771879198.838357,12.800893138037999,3.6293537680848047,7.2,53.0,-1.6293537680848047
1771879198.8384342,12.800893138037999,3.6293537680848047,7.2,53.0,-1.6293537680848047
1771879198.8425102,12.81602568643536,3.6318116153664057,7.2,53.0,-1.6318116153664057
1771879198.846682,12.831168435467085,3.6342597676137394,7.2,53.0,-1.6342597676137394
1771879198.8467467,12.831168435467085,3.6342597676137394,7.2,53.0,-1.6342597676137394
1771879198.8508308,12.846321343643462,3.6366979623305844,7.2,53.0,-1.6366979623305844
1771879198.8550062,12.861484368445373,3.6391259524584463,7.2,53.0,-1.6391259524584463
1771879198.8551095,12.861484368445373,3.6391259524584463,7.2,53.0,-1.6391259524584463
1771879198.8591833,12.87665746638486,3.6415435054767706,7.2,53.0,-1.6415435054767706
1771879198.8633525,12.891840593061954,3.643950402502662,7.2,53.0,-1.6439504025026621
1771879198.8634346,12.891840593061954,3.643950402502662,7.2,53.0,-1.6439504025026621
1771879198.867501,12.907033703217737,3.6463464373881593,7.2,53.0,-1.6463464373881593
1771879198.8716972,12.92223675078362,3.648731415811835,7.2,53.0,-1.648731415811835
1771879198.871762,12.92223675078362,3.648731415811835,7.2,53.0,-1.648731415811835
1771879198.8758678,12.937449688926783,3.651105154359202,7.2,53.0,-1.6511051543592021
1771879198.880014,12.95267247009171,3.653467479582348,7.2,53.0,-1.653467479582348
1771879198.8800757,12.95267247009171,3.653467479582348,7.2,53.0,-1.653467479582348
1771879198.8842256,12.967905046037634,3.6558182270218618,7.2,53.0,-1.6558182270218618
1771879198.8883593,12.983147367871638,3.658157240160805,7.2,53.0,-1.6581572401608051
1771879198.8884687,12.983147367871638,3.658157240160805,7.2,53.0,-1.6581572401608051
1771879198.8925014,12.998397634820401,3.660064067703102,7.2,53.0,-1.660064067703102
1771879198.8967202,13.013653583916685,3.6614277831080746,7.2,53.0,-1.6614277831080746
1771879198.8968287,13.013653583916685,3.6614277831080746,7.2,53.0,-1.6614277831080746
1771879198.9008894,13.028915164334267,3.6627793002196234,7.2,53.0,-1.6627793002196234
1771879198.9050238,13.044178930483136,3.663303875728533,7.2,53.0,-1.6633038757285332
1771879198.9051254,13.044178930483136,3.663303875728533,7.2,53.0,-1.6633038757285332
1771879198.9091754,13.059444349237591,3.6637005010689108,7.2,53.0,-1.6637005010689108
1771879198.9133532,13.07471136929674,3.66408481419587,7.2,53.0,-1.6640848141958702
1771879198.9134495,13.07471136929674,3.66408481419587,7.2,53.0,-1.6640848141958702
1771879198.9175377,13.089979938815413,3.6644566844813133,7.2,53.0,-1.6644566844813133
1771879198.9216967,13.105250005406003,3.6648159817418247,7.2,53.0,-1.6648159817418247
1771879198.9218214,13.105250005406003,3.6648159817418247,7.2,53.0,-1.6648159817418247
1771879198.925854,13.120521516139043,3.6651625759296835,7.2,53.0,-1.6651625759296835
1771879198.925956,13.120521516139043,3.6651625759296835,7.2,53.0,-1.6651625759296835
1771879198.9300294,13.135794417543401,3.665496337045882,7.2,53.0,-1.665496337045882
1771879198.9341652,13.151068655606823,3.6658171352210873,7.2,53.0,-1.6658171352210873
1771879198.9342337,13.151068655606823,3.6658171352210873,7.2,53.0,-1.6658171352210873
1771879198.9383812,13.166344175777116,3.6661248408703653,7.2,53.0,-1.6661248408703653
1771879198.9425697,13.181620922963937,3.6664193248369807,7.2,53.0,-1.6664193248369807
1771879198.9427366,13.181620922963937,3.6664193248369807,7.2,53.0,-1.6664193248369807
1771879198.946695,13.196898841540923,3.666700458476739,7.2,53.0,-1.6667004584767389
1771879198.9508655,13.212177875347876,3.666968113668762,7.2,53.0,-1.6669681136687622
1771879198.950979,13.212177875347876,3.666968113668762,7.2,53.0,-1.6669681136687622
1771879198.955014,13.227457967692706,3.6672221627589754,7.2,53.0,-1.6672221627589754
