tiempo,y,vy,velocidad_ruedas,fuerza_ruedas
1771238569.1993508,0.01030723611538557,0.13448892775867424,1.98,121.2121212121212
1771238569.2743423,0.020472597886335646,0.13637456399736428,1.98,121.2121212121212
1771238569.345172,0.030179830688867867,0.13754176496474527,1.98,121.2121212121212
1771238569.4201882,0.04052187735185427,0.13809672539592002,1.98,121.2121212121212
1771238569.4910438,0.05030229346327112,0.1379557295690286,1.98,121.2121212121212
1771238569.7202492,0.06071311975550368,0.7419642384684719,1.98,121.2121212121212
1771238569.7327418,0.07101962011225725,0.843921917359263,1.98,121.2121212121212
1771238569.7452788,0.08295863459213192,0.9876416473539276,1.98,121.2121212121212
1771238569.753618,0.09081426804860096,0.9328621074642923,1.98,121.2121212121212
1771238569.7661176,0.1024920091416038,0.9429813647628233,1.98,121.2121212121212
1771238569.7744887,0.1104581711142781,0.9552014860528596,1.98,121.2121212121212
1771238569.7869246,0.12259774668996722,0.9816438249809848,1.98,121.2121212121212
1771238569.7952585,0.13095254912707585,1.0101697112233334,1.98,121.2121212121212
1771238569.8077657,0.14399874853990371,1.059495897364779,1.98,121.2121212121212
1771238569.816094,0.1528303366650144,1.0619950277905768,1.98,121.2121212121212
1771238569.8244376,0.161794661111247,1.0813602728542346,1.98,121.2121212121212
1771238569.8327546,0.17109867262112632,1.1325995255366927,1.98,121.2121212121212
1771238569.8412302,0.1811239235349369,1.2311287542810956,1.98,121.2121212121212
1771238569.8494434,0.19172015577119528,1.2803572421878873,1.98,121.2121212121212
1771238569.8577592,0.2026550240918495,1.3313669821996095,1.98,121.2121212121212
1771238569.8661022,0.21422284557435836,1.401045625235846,1.98,121.2121212121212
1771238569.8702836,0.2201655322468405,1.426244801395713,1.98,121.2121212121212
1771238569.8786397,0.23241610243310984,1.4752582871611595,1.98,121.2121212121212
1771238569.8869572,0.2448659526297034,1.5029011503894065,1.98,121.2121212121212
1771238569.8911483,0.25117507092068203,1.5141883898348734,1.98,121.2121212121212
1771238569.899433,0.26394565822298344,1.5359654597718082,1.98,121.2121212121212
1771238569.9036474,0.27039810193855335,1.5485864917367835,1.98,121.2121212121212
1771238569.9119542,0.2836745032746944,1.6112345005394082,1.98,121.2121212121212
1771238569.916097,0.29038337729665964,1.6101297652716517,1.98,121.2121212121212
1771238569.9244845,0.3041625981654948,1.6768501047919613,1.98,121.2121212121212
1771238569.9286587,0.31127860984242345,1.7078428024628756,1.98,121.2121212121212
1771238569.9369774,0.32571037580973333,1.7400752233244787,1.98,121.2121212121212
1771238569.9411051,0.3330615250659566,1.7642758214935812,1.98,121.2121212121212
1771238569.9452934,0.3405136423127016,1.7885081392187958,1.98,121.2121212121212
1771238569.9536028,0.35559929960499287,1.8191328732790748,1.98,121.2121212121212
1771238569.9577765,0.363329077924586,1.8551467967023578,1.98,121.2121212121212
1771238569.9619312,0.37112740062539507,1.871597448194166,1.98,121.2121212121212
1771238569.9702544,0.3869703489263063,1.916543557340361,1.98,121.2121212121212
1771238569.9744396,0.3950583505521314,1.9411203901980252,1.98,121.2121212121212
1771238569.9785933,0.4031979037475769,1.9534927669069255,1.98,121.2121212121212
1771238569.9827492,0.41134745837487935,1.9558931105525832,1.98,121.2121212121212
1771238569.9910893,0.4278670221979148,1.9872444399719849,1.98,121.2121212121212
1771238569.995259,0.4362001532755146,1.9999514586239573,1.98,121.2121212121212
1771238569.9994154,0.444593381988316,2.0143748910723343,1.98,121.2121212121212
1771238570.0035965,0.4531262575609177,2.0478901374243987,1.98,121.2121212121212
1771238570.0077646,0.46176162290923095,2.0724876835951864,1.98,121.2121212121212
1771238570.0119255,0.4704447446549146,2.083949218964073,1.98,121.2121212121212
1771238570.020253,0.4880259644675698,2.123057596622056,1.98,121.2121212121212
1771238570.0244565,0.49692551050233585,2.1358910483438565,1.98,121.2121212121212
1771238570.0286357,0.505850938284736,2.1421026677760526,1.98,121.2121212121212
1771238570.032771,0.5147870732086971,2.1446723817506492,1.98,121.2121212121212
1771238570.036941,0.523708649573515,2.1411783275562923,1.98,121.2121212121212
1771238570.0411203,0.5326143870178335,2.1373769866364256,1.98,121.2121212121212
1771238570.0453134,0.5415460491704418,2.1435989166259963,1.98,121.2121212121212
1771238570.0494761,0.5504843848932668,2.1452005734779886,1.98,121.2121212121212
1771238570.0578222,0.568315486950511,2.13855319767306,1.98,121.2121212121212
1771238570.0619686,0.5772495307521528,2.1441705123940182,1.98,121.2121212121212
1771238570.0661335,0.5861872840171063,2.1450607835888267,1.98,121.2121212121212
1771238570.0702722,0.5951176415441988,2.1432858065021865,1.98,121.2121212121212
1771238570.0744686,0.6040371510677909,2.1406822856620953,1.98,121.2121212121212
1771238570.0786161,0.6129704601417217,2.1439941777433944,1.98,121.2121212121212
1771238570.082794,0.6219060425615088,2.144539780748911,1.98,121.2121212121212
1771238570.086945,0.6308486634423344,2.146229011398134,1.98,121.2121212121212
1771238570.0953057,0.6487085708523709,2.1447014150194796,1.98,121.2121212121212
1771238570.0994964,0.6576412824732268,2.143850789005418,1.98,121.2121212121212
1771238570.1036289,0.6665739251071919,2.1438342321516153,1.98,121.2121212121212
1771238570.1078124,0.675497524106996,2.141663759952987,1.98,121.2121212121212
1771238570.1119595,0.6844319720870814,2.144267515220485,1.98,121.2121212121212
1771238570.116139,0.6933544611307408,2.14139737047827,1.98,121.2121212121212
1771238570.1203196,0.7022824356333855,2.142713880634721,1.98,121.2121212121212
1771238570.1244931,0.7112036606029275,2.141093992690062,1.98,121.2121212121212
1771238570.128647,0.7201381169840003,2.144269531457482,1.98,121.2121212121212
1771238570.1369917,0.7379860263438592,2.1422104626043565,1.98,121.2121212121212
1771238570.1411805,0.7469041881497576,2.1403588334156116,1.98,121.2121212121212
1771238570.1453025,0.7558385062309212,2.144236339479275,1.98,121.2121212121212
1771238570.1494863,0.7647600637998839,2.1411738165510577,1.98,121.2121212121212
1771238570.1536555,0.7736797536718616,2.1407255692746396,1.98,121.2121212121212
1771238570.1578314,0.782601762855199,2.1412822040009774,1.98,121.2121212121212
1771238570.1619859,0.791522809643668,2.1410512292325543,1.98,121.2121212121212
1771238570.166148,0.8004441957360903,2.141132662181345,1.98,121.2121212121212
1771238570.1745012,0.8182861178407499,2.1410824020502894,1.98,121.2121212121212
1771238570.178654,0.8272133144427158,2.142527184471839,1.98,121.2121212121212
1771238570.1828165,0.8361354480107911,2.141312056338052,1.98,121.2121212121212
1771238570.1869764,0.8450634608085473,2.1427230714615026,1.98,121.2121212121212
1771238570.1911547,0.853986820803636,2.1416063988212777,1.98,121.2121212121212
1771238570.195303,0.8629230460518882,2.1446940595805186,1.98,121.2121212121212
1771238570.1994507,0.871845268460934,2.141333378171009,1.98,121.2121212121212
